brand,name,old_price,old_price_cents,new_price,new_price_cents,reviews_rating_number,reviews_amount
OLYMPIKUS,Olympikus Marez Masculino Adultos,349,349,229,229,4.8,(1589)
MIZUNO,Tênis Masculino Mizuno Cool Ride 2 Academia Treino Conforto ,379,379,239,239,4.8,(115)
ASCENSION,Tênis Esportivo Masculino Leve Para Exercicios Solado Macio,109,109,104,104,4.8,(25)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,78,69,69,4.2,(9897)
,Tênis Masculino Esportivo Caminhada Macio,69,69,34,34,,
SAPATOFRAN,Tênis Masculino Esportivo Polo Academia Corrida Confortável,78,78,74,74,,
NIKE,Tênis Nike Revolution 7 Masculino,399,399,319,319,4.7,(3042)
NIKE,Tênis Nike Downshifter 13 Masculino,449,449,359,359,5.0,(8)
,Tênis Para Caminhada Corrida Leve Arrojado Esportivo Branco,149,149,37,37,,
,Tênis Esportivo Dpizar Olimp Olymp Caminhada Envio 24hrs,116,116,89,89,4.5,(2880)
,Tenis Masculino Esportivo Corrida Treino Ultraleve Refletivo,147,147,36,36,4.6,(5)
NOG,Tênis Masculino Esportivo Academia Leve Promoção Kit 2 Pares,149,149,142,142,4.8,(118)
,Tênis Para Caminhada Caminhada Macio Arrojado Esportiv Preto,149,149,37,37,,
,Tenis Ortopédico Masculino Unissex Confortável Casual Leve,129,129,122,122,,
PROSPECT,Tênis Masculino Esportivo Pulse Academia Caminhada Leve,69,69,61,61,,
ADIDAS,Tênis De Corrida Masc/femi Response Runner Cano Baixo adidas,299,299,275,275,,
PROSPECT,Tênis Masculino Esporte Fly Academia Caminhada Leve E Macio,69,69,61,61,,
PUMA,Tênis Flyer Flex Bdp,329,329,193,193,4.8,(3557)
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,106,106,10,10,4.5,(3291)
ASICS,Tênis Asics Revelation Esportivo Leve Corrida Envio Imediato,333,333,99,99,,
,Tênis Número Especial Esportivo Corrida E Academia 44-48,149,149,109,109,4.4,(354)
MIZUNO,Tênis Masculino Mizuno Cool Ride 2 Academia Treino Conforto ,379,379,239,239,4.8,(115)
OLYMPIKUS,Tênis De Corrida Masculino Luminus Cabedal Têxtil Olympikus,279,279,127,127,4.8,(262)
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,379,379,302,302,4.9,(208)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,359,359,249,249,4.7,(132)
ADIDAS,Tênis Grand Court Base 2.0 Masculino adidas,349,349,197,197,4.8,(1123)
ADIDAS,Tênis Masculino Esportivo Adizero Drive Rc adidas,899,899,688,688,4.9,(26)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,359,359,249,249,4.7,(132)
OLYMPIKUS,Olympikus Treino Venum Sem gênero Adultos,229,229,139,139,4.8,(1253)
OLYMPIKUS,Tênis De Corrida Olympikus Corre Max Preto Masculino,499,499,55,55,,
,Kit Tênis Esportivo Premium Run Masculino Confort + Brindes,149,149,37,37,,
,Kit Tênis Esportivo Masculino Zoom Moderno + Brindes,149,149,37,37,,
,Kit Tênis Esportivo Masculino Fast Resistente + Brindes,149,149,37,37,,
,Kit Tênis Esportivo Masculino Zoom Confortável + Brindes,149,149,37,37,,
,Kit Tênis Esportivo Masculino Flex Confortável + Brindes,149,149,37,37,,
NEW BALANCE,Tenis New Balance Rebel V4 Laranja Branco Masculino,899,899,89,89,,
,Tênis Masculino Leve Esportivo Casual Estiloso Barato,115,115,40,40,,
OLYMPIKUS,Tênis Olympikus Pride 4 Corridas Intensas Conforto Unissex,409,409,39,39,,
,Kit Tênis Esportivo Premium Under Masculino Confort+ Brindes,149,149,37,37,,
,Kit Tênis Esportivo Fast + Relógio Digital E Óculos De Sol,139,139,34,34,,
ASICS,Tenis Asics Novablast 5 Preto/cinza,999,999,99,99,,
,Kit Tênis Esportivo Titanium + Relógio Slim E Óculos De Sol,139,139,34,34,,
,Kit Tênis Esportivo Leve + Relógio Digital E Óculos De Sol,139,139,34,34,,
OLYMPIKUS,Tenis Olympikus Original Voa 2 Masculino E Feminino Treino,250,250,137,137,,
OLYMPIKUS,Tênis Olympikus Cosmo Masculino 43554334 Preto,229,229,22,22,,
MIZUNO,Tênis Mizuno Nirvana Original Corrida Academia Macio + Frete,459,459,137,137,,
ASICS,Tenis Asics Novablast 5 Roxo/coral,999,999,99,99,,
WAVE,Prophecy 8 Tenis Wave Promoção,299,299,149,149,,
ASICS,Tênis Asics Nagoya 7 Corrida Preto E Amarelo - Masculino,474,474,52,52,,
OLIMP,Tênis Olimp Academia Corrida Confortável Leve Lançamento,114,114,99,99,,
,Kit Tênis Esportivo Masculino Titaniun Confortável + Brindes,149,149,37,37,,
,Tênis Masculino Academia Leve Esportivo Confortável Arcomis,99,99,69,69,,
MIZUNO,Tenis Ls Flor De Lotus Wave Premium Importado + Frete,516,516,154,154,,
ULTRABONE,Kit 2 Tenis Masculino Esportivo Xtreme Faste Macio Leve Pro,279,279,237,237,,
MIZUNO,Tênis Mizuno Adulto Creation 20 Masculino Envio Imediato,439,439,131,131,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Masculino Adulto - Corrida,298,298,29,29,,
ASICS,Tênis Asics Dynablast 5 Cinza Preto Masculino,749,749,697,697,,
